key,Reference,TP15,ALT97,T89,t490,p15
B1,30299.000000,30304.000000,30620.000000,30649.000000,30529.000000,30354.000000
B2,19111.000000,19114.000000,19314.000000,19380.000000,19325.000000,19146.000000
B3,2935.000000,3101.000000,2966.000000,2969.000000,2991.000000,2940.000000
B4,3184.000000,3352.000000,3217.000000,3221.000000,3244.000000,3206.000000
B5,64119.000000,63583.000000,64799.000000,64860.000000,64679.000000,64214.000000
B6,10485.000000,10487.000000,10596.000000,10488.000000,10490.000000,10504.000000
B7,275.300000,277.100000,278.200000,278.500000,280.500000,294.000000
B8,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000
B9,15021.000000,14867.000000,15181.000000,15235.000000,15183.000000,15049.000000
