key,type,fuel,product
COMB,PRODUCTIVE,NG+B3,B4
CMP,PRODUCTIVE,WC,B2-B1
TRB,PRODUCTIVE,B4-B5,WC+WN
APH,PRODUCTIVE,B5-B6,B3-B2
HRSG,PRODUCTIVE,B6-B7,QV
STCK,DISSIPATIVE,B7,QG
