key,description,fuel,product,type
COMB,Combustor,B4,B5-B3,PRODUCTIVE
REGE,Regenerator,B6-B9,B3-B2,PRODUCTIVE
COMP,Compressor,B7,B2-B1,PRODUCTIVE
TURB,Turbine,B5-B6,B7+B8,PRODUCTIVE
ICE,ICE,B10,B11+B12+(B13-B14),PRODUCTIVE
WHTR,Water Heater,B13-B14,B17,PRODUCTIVE
BURN,Burner,B15,B16-B11,PRODUCTIVE
HRSG,HRSG,B16+B9-B19,B18,PRODUCTIVE
STCK,Stack,B19,B20,DISSIPATIVE
