key,type
B1,RESOURCE
B2,INTERNAL
B3,INTERNAL
B4,RESOURCE
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
B8,OUTPUT
B9,INTERNAL
B10,RESOURCE
B11,INTERNAL
B12,OUTPUT
B13,INTERNAL
B14,INTERNAL
B15,RESOURCE
B16,INTERNAL
B17,OUTPUT
B18,OUTPUT
B19,INTERNAL
B20,WASTE
