key,type
B1,RESOURCE
B2,INTERNAL
B3,INTERNAL
B4,INTERNAL
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
B8,INTERNAL
B9,INTERNAL
B10,RESOURCE
B11,INTERNAL
B12,INTERNAL
B13,INTERNAL
B14,INTERNAL
B15,INTERNAL
B16,INTERNAL
B17,INTERNAL
B18,OUTPUT
B19,RESOURCE
B20,INTERNAL
B21,INTERNAL
B22,INTERNAL
B23,INTERNAL
B24,WASTE
