key,Reference
NG1,366255
NG2,366289
NG3,366379
NG4,364957
NG5,364986
NG6,365039
NG7,363808
NG8,357729
NG9,6079
A10,0
G11,851.4
G12,180.9
G13,146.6
G14,146.6
HT16,231.5
HT17,146.5
HT18,73.5
HT19,116.1
LT21,81.8
LT23,55.4
LT24,48.1
LT25,2.93
LT26,3.38
BZ28,640.1
BZ29,193.9
BZ30,157.3
BZ31,12.1
BZ32,21.8
BZ33,49.1
W34,906
W35,883.8
W36,2349
W37,343.2
W38,13.2
W39,4482
