key,description,fuel,product,type
COMB,Combustor,GN,A3-A2,PRODUCTIVE
COMP,Compresor,WC,A2-A1,PRODUCTIVE
TGAS,Turbina Gas,A3-A4,WTG,PRODUCTIVE
SHT,Sobrecalentador,A4-A5,V13-V12,PRODUCTIVE
EVAP,Evaporador,A5-A6,V12-V11,PRODUCTIVE
ECON,Economizador,A6-A7,V11-V10,PRODUCTIVE
TVAP,Turbina de vapor,V13-V8,WTV,PRODUCTIVE
PUMP,Bomba alimentacion,WB,V10-V9,PRODUCTIVE
ALTN,Alternador,(WTG-WC)+WTV,WB+WN,PRODUCTIVE
COND,Condensador,V8-V9,QC,DISSIPATIVE
STCK,Chimenea,A7,QG,DISSIPATIVE
