key,type
A1,RESOURCE
A2,INTERNAL
A3,INTERNAL
A4,INTERNAL
A5,INTERNAL
A6,INTERNAL
A7,INTERNAL
V8,INTERNAL
V9,INTERNAL
V10,INTERNAL
V11,INTERNAL
V12,INTERNAL
V13,INTERNAL
GN,RESOURCE
WC,INTERNAL
WTG,INTERNAL
WTV,INTERNAL
WB,INTERNAL
WN,OUTPUT
QC,WASTE
QG,WASTE
