key,description,fuel,product,type
AC,Air Compressor,WAC,G2-G1,PRODUCTIVE
CC,Combustion chamber,GN,G3-G2,PRODUCTIVE
GT,Gas Turbine,G3-G4-G6,WGT+WAC,PRODUCTIVE
HRSG,HRSG,G4-G5,V1-V4,PRODUCTIVE
ST,Steam Turbine,V1-V2,WST,PRODUCTIVE
CP,Condenser pump,WCP,V4-V3,PRODUCTIVE
GEN,Generator,WGT+WST,WN+WCP,PRODUCTIVE
REF,Refrigerator,G6-G7,COLD,PRODUCTIVE
HE,Heater,G7-G8,HEAT,PRODUCTIVE
STCK,Stack,G5+G8,G9,DISSIPATIVE
CND,Condenser  ,V2-V3,QCON,DISSIPATIVE
