key,type
G1,RESOURCE
G2,INTERNAL
G3,INTERNAL
G4,INTERNAL
G5,INTERNAL
G6,INTERNAL
G7,INTERNAL
G8,INTERNAL
V1,INTERNAL
V2,INTERNAL
V3,INTERNAL
V4,INTERNAL
WAC,INTERNAL
WGT,INTERNAL
WST,INTERNAL
WCP,INTERNAL
GN,RESOURCE
WN,OUTPUT
COLD,OUTPUT
HEAT,OUTPUT
G9,WASTE
QCON,WASTE
