key,Reference
G1,0.000000
G2,251434.739778
G3,800981.435528
G4,238347.475611
G5,17248.722222
G6,2973.558000
G7,467.406200
G8,241.364000
V1,170942.394444
V2,14770.366667
V3,18.433333
V4,257.956944
WAC,261432.500000
WGT,256695.100000
WST,141167.470000
WCP,384.030000
GN,718204.100000
WN,389521.288600
COLD,500.991000
HEAT,91.361025
G9,17490.086222
QCON,14751.933333
