key,type
B1,INTERNAL
B2,INTERNAL
B3,INTERNAL
B4,INTERNAL
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
AIR,RESOURCE
WT,INTERNAL
WBC,INTERNAL
WBA,INTERNAL
COMB,RESOURCE
WN,OUTPUT
QCON,WASTE
