key,description,fuel,product,type
BOIL,Caldera,GN,B1-B9,PRODUCTIVE
TURA,Turbina Alta,B1-B2-B3,WTA,PRODUCTIVE
TURB,Turbina Baja,B3-B4,WTB,PRODUCTIVE
PUMB,Bomba Baja,WBB,B6-B5,PRODUCTIVE
DESG,Desgasificador,B7+B6,B8,PRODUCTIVE
PUMA,Bomba Alta,WBA,B9-B8,PRODUCTIVE
ALTR,Alternador,WTA+WTB,WBA+WBB+WN,PRODUCTIVE
EVAP,Evaporador,B2-B7,QV,PRODUCTIVE
COND,Condensador,B4-B5,QC,DISSIPATIVE
