key,type
B1,INTERNAL
B2,INTERNAL
B3,INTERNAL
B4,INTERNAL
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
B8,INTERNAL
B9,INTERNAL
GN,RESOURCE
WTA,INTERNAL
WTB,INTERNAL
WBB,INTERNAL
WBA,INTERNAL
WN,OUTPUT
QV,OUTPUT
QC,WASTE
