key,width,precision,unit
EXERGY,10,2,(kW)
EXERGY_COST,10,2,(kW)
EXERGY_UNIT_COST,10,4,(J/J)
GENERALIZED_COST,10,2,(kW)
GENERALIZED_UNIT_COST,10,4,(J/J)
DIAGNOSIS,10,3,(kW)
