key,type
B1,RESOURCE
B2,INTERNAL
B3,INTERNAL
B4,INTERNAL
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
B8,INTERNAL
B9,INTERNAL
B10,INTERNAL
F1,RESOURCE
F2,RESOURCE
WC1,INTERNAL
WC2,INTERNAL
WT1,INTERNAL
WT2,INTERNAL
WN,OUTPUT
QI,WASTE
QG,WASTE
