key,description,fuel,product,type
CMB1,Combustor,F1,B6-B5,PRODUCTIVE
CMB2,Recalentador,F2,B8-B7,PRODUCTIVE
CMP1,Compresor 1,WC1,B2-B1,PRODUCTIVE
CMP2,Compresor 2,WC2,B4-B3,PRODUCTIVE
TRB1,Turbina 1,B6-B7,WT1,PRODUCTIVE
TRB2,Turbina 2,B8-B9,WT2,PRODUCTIVE
PHTR,Precalentador,B9-B10,B5-B4,PRODUCTIVE
ALTR,Alternador,WT1+WT2-WC1-WC2,WN,PRODUCTIVE
COOL,Intercooler,B2-B3,QI,DISSIPATIVE
STCK,Chimenea,B10,QG,DISSIPATIVE
