key,type
A1,INTERNAL
A2,INTERNAL
A3,INTERNAL
A4,INTERNAL
V5,INTERNAL
V6,INTERNAL
V7,INTERNAL
V8,INTERNAL
GN,RESOURCE
WC,INTERNAL
WTG,INTERNAL
WTV,INTERNAL
WB,INTERNAL
WN,OUTPUT
QG,WASTE
QC,WASTE
