key,type,Base
GN,FLOW,1.32
COMB,PROCESS,58.8
COMP,PROCESS,21371.4
TGAS,PROCESS,17377.8
HRSG,PROCESS,12220.2
TVAP,PROCESS,2126.4
PUMP,PROCESS,7.8
ALTN,PROCESS,592.8
COND,PROCESS,314.4
STCK,PROCESS,25.2
