key,description,fuel,product,type
COMB,Combustor,GN,A2-A1,PRODUCTIVE
COMP,Compresor,WC,A1,PRODUCTIVE
TGAS,Turbina Gas,A2-A3,WTG+WC,PRODUCTIVE
HRSG,HRSG,A3-A4,V6-V5,PRODUCTIVE
TVAP,Turbina de vapor,V6-V7,WTV,PRODUCTIVE
PUMP,Bomba alimentacion,WB,V5-V8,PRODUCTIVE
ALTN,Alternador,WTG+WTV,WB+WN,PRODUCTIVE
STCK,Chimenea,A4,QG,DISSIPATIVE
COND,Condensador,V7-V8,QC,DISSIPATIVE
