key,type
B1,RESOURCE
B2,INTERNAL
B3,INTERNAL
B4,INTERNAL
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
B8,RESOURCE
B9,OUTPUT
WN,OUTPUT
WC,INTERNAL
NG,RESOURCE
QG,WASTE
