key,type
B1,INTERNAL
B2,INTERNAL
B3,INTERNAL
B4,INTERNAL
B5,INTERNAL
B6,INTERNAL
B7,INTERNAL
B8,INTERNAL
B9,INTERNAL
B10,INTERNAL
B11,INTERNAL
B12,INTERNAL
B13,INTERNAL
B14,OUTPUT
B15,RESOURCE
B16,WASTE
