Key,P*(kW),Pe*(kW),Pr*(kW),F*(kW),R*(kW)
BOIL,47308.9230122964,46479,829.923012296373,46479,829.923012296373
TURA,20353.6070986395,19870.8889278527,482.718170786735,20308.9264352915,44.680663347984
TURB,8444.11723219543,8171.05717460495,273.060057590478,8351.18145243162,92.9357797638069
PUMB,13.6274147801652,13.2697718191592,0.357642961006013,13.6274147801652,0
DESG,3662.43897757355,3395.36643028445,267.0725472891,3470.27963014933,192.159347424221
PUMA,511.452143927776,498.029402922385,13.4227410053917,511.452143927776,0
ALTR,28797.7243308349,28041.9461024577,755.778228377213,28797.7243308349,0
EVAP,18206.3552278731,17813.6674859103,392.687741962739,18206.3552278731,0
COND,1159.69880283238,1134.68558637355,25.0132164588301,1159.69880283238,0
